scorer,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000,DLC_resnet50_Corridor_ventralviewJul31shuffle1_1030000
bodyparts,head,head,head,spine 1,spine 1,spine 1,spine 2,spine 2,spine 2,spine 3,spine 3,spine 3,spine 4,spine 4,spine 4,base,base,base,tail 25,tail 25,tail 25,tail 50,tail 50,tail 50,tail 75,tail 75,tail 75,tail 100,tail 100,tail 100,lForepaw,lForepaw,lForepaw,rForepaw,rForepaw,rForepaw,lHindpaw,lHindpaw,lHindpaw,lHindfingers,lHindfingers,lHindfingers,rHindpaw,rHindpaw,rHindpaw,rHindfingers,rHindfingers,rHindfingers
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
8,472.44354248046875,77.89987182617188,1.0,495.6552734375,81.46296691894531,0.9999995827674866,513.1105346679688,84.3606185913086,0.9999998211860657,528.79296875,84.47064208984375,0.999999463558197,546.7288208007812,83.11402893066406,0.9999999403953552,564.6659545898438,83.77259063720703,0.9999999403953552,585.8193969726562,85.88015747070312,0.9999991059303284,606.983154296875,86.90452575683594,0.9999922513961792,624.6942138671875,91.03153991699219,0.9993690848350525,643.1348876953125,96.46728515625,0.9993869662284851,516.6183471679688,75.75809478759766,0.9999996423721313,491.4422302246094,93.40214538574219,0.9999998807907104,548.99072265625,69.21991729736328,0.9999997019767761,543.3104858398438,67.93617248535156,0.999998927116394,554.7620239257812,97.46768951416016,0.9999993443489075,548.6466064453125,103.04267120361328,0.9999935030937195
9,471.6150817871094,77.77043914794922,1.0,494.9185485839844,81.46296691894531,0.9999997019767761,512.129638671875,84.34552001953125,0.9999995827674866,528.0073852539062,84.68842315673828,0.9999991655349731,545.4711303710938,83.41542053222656,0.9999998807907104,563.4988403320312,83.76666259765625,1.0,584.7489013671875,85.89947509765625,0.9999987483024597,605.7373657226562,87.33358764648438,0.9999926090240479,624.4202880859375,91.8663558959961,0.999340832233429,643.1348876953125,97.4848403930664,0.999613881111145,516.4119262695312,75.78231811523438,0.9999997615814209,489.52374267578125,92.90425872802734,0.9999999403953552,544.2852172851562,69.63935089111328,0.9999997019767761,538.7771606445312,67.93617248535156,0.9999995827674866,554.11767578125,97.40596008300781,0.9999992847442627,548.7478637695312,103.12954711914062,0.9999947547912598
10,470.66754150390625,77.69892120361328,1.0,494.0853271484375,81.42644500732422,0.9999997615814209,511.0975646972656,84.09262084960938,0.9999994039535522,527.7617797851562,85.08433532714844,0.9999986886978149,544.390380859375,83.7231674194336,0.9999998211860657,562.4271240234375,83.76666259765625,1.0,583.7527465820312,85.9130859375,0.9999982118606567,604.6532592773438,87.37574768066406,0.9999935030937195,624.4103393554688,91.93628692626953,0.9993225932121277,642.4786376953125,98.16680145263672,0.9994746446609497,516.0004272460938,76.00959777832031,0.9999997019767761,487.48895263671875,92.88875579833984,0.9999999403953552,542.3601684570312,69.9336166381836,0.9999997615814209,536.9219970703125,67.93617248535156,0.9999994039535522,553.503662109375,97.25611877441406,0.999999463558197,548.8443603515625,103.12954711914062,0.9999963045120239
11,469.79449462890625,77.64876556396484,1.0,492.94921875,81.2069091796875,0.9999997019767761,509.3655700683594,83.8573989868164,0.9999996423721313,526.2654418945312,85.08433532714844,0.9999991059303284,543.6295166015625,83.73241424560547,0.9999996423721313,561.3228759765625,83.60372161865234,0.9999998807907104,583.2581176757812,85.90336608886719,0.9999986886978149,603.8225708007812,87.60611724853516,0.9999924302101135,623.7715454101562,92.01016235351562,0.9994463324546814,642.4705810546875,99.17374420166016,0.9993920922279358,515.7440795898438,76.62200164794922,0.9999991059303284,485.5452575683594,92.81393432617188,1.0,537.6912231445312,70.09418487548828,0.9999997615814209,531.8551025390625,67.82301330566406,0.9999995231628418,553.304443359375,97.22489929199219,0.9999991655349731,549.6897583007812,103.04267120361328,0.9999960660934448
12,468.435302734375,77.60013580322266,1.0,491.5551452636719,81.09552764892578,0.9999997615814209,507.9403381347656,83.74333190917969,0.9999997615814209,524.8873901367188,85.25514221191406,0.9999992847442627,542.4527587890625,83.83186340332031,0.9999998211860657,560.7171630859375,83.42610931396484,0.9999999403953552,582.010986328125,85.90336608886719,0.9999987483024597,603.01611328125,87.76691436767578,0.9999907612800598,622.76953125,92.01016235351562,0.9996126294136047,641.7965698242188,99.2923583984375,0.9992750287055969,514.909423828125,76.62200164794922,0.9999980330467224,484.6086730957031,92.20579528808594,1.0,534.4893188476562,70.18978118896484,0.9999991059303284,529.0917358398438,67.80997467041016,0.9999992847442627,552.927978515625,97.25611877441406,0.9999990463256836,549.9863891601562,103.02149200439453,0.9999958872795105
13,467.1659851074219,77.42037963867188,1.0,490.884033203125,81.01078796386719,0.9999996423721313,507.343017578125,83.60801696777344,0.9999998211860657,524.1751098632812,85.25514221191406,0.9999992251396179,541.6693725585938,83.83186340332031,0.9999998807907104,559.9912719726562,83.36810302734375,0.9999998807907104,580.8432006835938,85.90336608886719,0.999998927116394,601.8237915039062,87.77937316894531,0.9999886155128479,621.0956420898438,92.03226470947266,0.9997139573097229,640.274658203125,99.42208862304688,0.9996641278266907,514.9085693359375,76.62200164794922,0.9999961853027344,483.3715515136719,91.51116180419922,1.0,533.1112670898438,70.3503646850586,0.9999997615814209,527.4994506835938,67.80997467041016,0.9999992251396179,552.4869995117188,97.15089416503906,0.9999985098838806,549.9863891601562,102.96204376220703,0.9999955296516418
14,466.0620422363281,77.04187774658203,0.9999999403953552,489.69171142578125,80.69071960449219,0.9999996423721313,505.80657958984375,83.45024871826172,0.9999997019767761,522.4728393554688,85.08433532714844,0.9999988079071045,539.9607543945312,83.73241424560547,0.9999998211860657,558.7933349609375,83.34624481201172,0.9999995827674866,579.2847290039062,85.87308502197266,0.9999985098838806,600.5729370117188,88.03141784667969,0.999979555606842,619.8192138671875,92.03226470947266,0.999748945236206,639.259765625,99.50817108154297,0.9997473955154419,514.0111694335938,76.42243957519531,0.99998939037323,483.3715515136719,90.9122543334961,1.0,531.0961303710938,70.51378631591797,0.9999997615814209,525.7867431640625,67.80997467041016,0.9999982714653015,551.8435668945312,97.14945983886719,0.9999979138374329,549.9863891601562,102.85519409179688,0.9999957084655762
15,464.662841796875,76.7329330444336,0.9999999403953552,488.32086181640625,80.2281265258789,0.9999998807907104,504.3517150878906,83.09623718261719,0.9999993443489075,520.6116333007812,84.99372863769531,0.9999985098838806,538.3556518554688,83.80435180664062,0.9999998211860657,556.3050537109375,83.31834411621094,0.999999463558197,577.9453125,85.86698913574219,0.9999980330467224,599.167236328125,88.23814392089844,0.9999659657478333,618.4688110351562,92.03226470947266,0.9997180104255676,638.4132080078125,99.50817108154297,0.999824047088623,512.8640747070312,75.3167953491211,0.9999892115592957,483.3715515136719,90.32074737548828,1.0,528.4893798828125,71.08135223388672,0.9999995231628418,523.5794677734375,67.93375396728516,0.999998927116394,550.8637084960938,96.83158874511719,0.9999985098838806,549.736572265625,102.568603515625,0.999997079372406
16,463.6849670410156,75.99506378173828,0.9999998211860657,487.6546630859375,80.01177215576172,0.9999998807907104,504.13323974609375,83.0695571899414,0.999999463558197,520.5882568359375,84.99125671386719,0.9999990463256836,537.2020263671875,83.78616333007812,0.9999996423721313,554.9961547851562,83.21668243408203,0.9999993443489075,576.4663696289062,85.8396987915039,0.9999969601631165,597.772216796875,88.62663269042969,0.9999599456787109,616.713134765625,92.27336883544922,0.9996070861816406,636.3064575195312,99.5631103515625,0.999843955039978,511.45758056640625,74.97441101074219,0.999981701374054,483.7934875488281,89.80996704101562,1.0,527.50048828125,71.33772277832031,0.9999992251396179,522.8034057617188,68.19065856933594,0.9999991059303284,550.1537475585938,96.49340057373047,0.9999988675117493,549.7239990234375,102.568603515625,0.9999983310699463
17,462.2164001464844,75.78361511230469,0.9999998807907104,486.5123291015625,79.99517822265625,0.9999998807907104,503.2923278808594,82.89177703857422,0.9999996423721313,519.6337280273438,84.72158813476562,0.9999995231628418,536.3706665039062,83.78616333007812,0.9999994039535522,553.7310180664062,83.19245147705078,0.9999992251396179,575.7860107421875,85.74220275878906,0.9999940395355225,596.0526733398438,88.68880462646484,0.9999558329582214,615.3529663085938,92.80220031738281,0.9996991753578186,634.9036254882812,100.10831451416016,0.9996856451034546,509.3858947753906,74.59040069580078,0.9999845027923584,483.80682373046875,89.59800720214844,1.0,527.1071166992188,71.57846069335938,0.9999994039535522,522.10791015625,68.37985229492188,0.9999990463256836,549.2543334960938,96.45215606689453,0.9999993443489075,549.2759399414062,102.568603515625,0.9999990463256836
18,460.6165466308594,75.66848754882812,1.0,484.8818664550781,79.8579330444336,0.9999999403953552,501.8778991699219,82.47605895996094,0.9999998807907104,518.60400390625,84.17988586425781,0.9999998807907104,536.3170166015625,83.78616333007812,0.9999992847442627,553.2133178710938,83.1229248046875,0.9999994039535522,575.3654174804688,85.62239074707031,0.9999940991401672,595.339111328125,89.13349914550781,0.9999662637710571,614.9424438476562,93.71096801757812,0.9996996521949768,633.11474609375,100.490966796875,0.9994779825210571,505.9884033203125,73.99978637695312,0.9999909400939941,483.80682373046875,89.04113006591797,1.0,527.1071166992188,72.06025695800781,0.9999996423721313,521.0803833007812,68.41006469726562,0.9999991059303284,548.14306640625,96.43025207519531,0.9999996423721313,548.6586303710938,102.39410400390625,0.9999993443489075
